Site,Location,Reference,Ryear,P,Q,I,ET,Category,LongCategory,LongRef
Pennine moorland,"Cumbria, UK",Crisp,1966,2130,81,0,19,Natural wetland,Natural wetland,Crisp (1966)
Thoreau's Bog,MA,Hemond,1980,1448,19,0,81,Natural wetland,Natural wetland,"Hemond (1980), assumes that I = 0, residual is dS = 0.19, as reported in Lent et al. (1997)"
Thoreau's Bog,MA,Hemond,1980,1448,17,13,70,Natural wetland,Natural wetland,"Hemond (1980), assuming residual is I = 0.183 and dS = 0"
Route 2 wetland,MA,O'Brien,1977,,6,40,54,Natural wetland,Natural wetland,"O'Brien (1977), reported in Lent et al. (1997)"
Conant Road wetland,MA,O'Brien,1977,,6,38,56,Natural wetland,Natural wetland,"O'Brien (1977), reported in Lent et al. (1997)"
Okefenokee Swamp,FL,Rykiel,1984,,44,2,54,Natural wetland,Natural wetland,"Rykiel (1984), reported in Lent et al. (1997)"
Phelps Marsh,MN,Brown and Stark,1990,,47,5,48,Natural wetland,Natural wetland,"Brown and Stark (1990), reported in Lent et al. (1997)"
Rich Fen,Wales,Gilman,1982,,67,0,33,Natural wetland,Natural wetland,"Gilman (1982), reported in Lent et al. (1997)"
Organic soil bog,MN,Verry and Timmons,1982,,45,9,46,Natural wetland,Natural wetland,"Verry and Timmons (1982), reported in Lent et al. (1997)"
Beverly Swamp,Ontario,Woo and Valverde,1981,,31,0,69,Natural wetland,Natural wetland,"Woo and Valverde (1981), reported in Lent et al. (1997)"
Cypress dome,FL,Heimburg,1984,,0,37,63,Natural wetland,Natural wetland,"Heimburg (1984), reported in Lent et al. (1997)"
Prairie pothole,ND,Winter,1981,,0,6,94,Natural wetland,Natural wetland,"Winter (1981), reported in Lent et al. (1997)"
Prairie pothole,ND,Shjeflo,1968,,0,22,78,Natural wetland,Natural wetland,"Shjeflo (1968), reported in Lent et al. (1997)"
Cypress swamp,IL,Mitsch et al.,1979,,25,9,66,Natural wetland,Natural wetland,"Mitsch et al. (1979), reported in Lent et al. (1997)"
Cypress swamp,IL,Mitsch et al.,1979,,58,5,37,Natural wetland,Natural wetland,"Mitsch et al. (1979), reported in Lent et al. (1997)"
Frozen fen,Northwest Territories,Roulet and Woo,1986,,60,0,40,Natural wetland,Natural wetland,"Roulet and Woo (1986), reported in Lent et al. (1997)"
